month_date_yyyymm,postal_code,zip_name,flag,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_feet,median_listing_price_per_square_feet_mm,median_listing_price_per_square_feet_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio_mm,pending_ratio_yy
201912,32095,"saint augustine, fl",,376250,-0.0449,-0.1021,284,0.0441,0.0637,66.5,-0.05,-0.2267,68,0.0625,0.8889,12,,2,64,-0.2727,1,139,0.112,0.112,157.2774376,0.0066,-0.0146,2476.5,-0.0094,-0.0537,426834,-0.0262,-0.0998,423,0.0655,0.4894,0.0299,0.0213
201912,34109,"naples, fl",,463800,-0.0027,0.0424,283,0.0254,-0.2799,67,0.1356,-0.1519,64,-0.0588,-0.1579,0,,-1,44,-0.1538,-0.1538,69,-0.1585,0,227.8190076,0.0185,0.0058,1988,-0.0035,0.0705,657902,0.0057,0.1442,352,-0.0168,0.2438,-0.0533,0.0682
201912,77057,"houston, tx",,319550,-0.0166,0.1055,283,-0.1044,0.1891,79,0.254,0.026,48,-0.2941,0.2,0,,,44,-0.45,0.2222,46,0.0455,0.0455,168.2841673,0.0019,0.0031,1872,-0.0225,0.0354,525811,-0.0192,-0.0784,329,-0.0861,0.1625,0.0233,-0.0223
201912,30228,"hampton, ga",,228397.5,0.0153,-0.0068,282,0.0144,-0.2167,58.5,0.0086,-0.1761,84,-0.2759,0.05,52,2.25,1.1667,44,-0.3889,0.1,179,-0.1517,-0.2415,73.441247,0.0942,,1684.5,0.1617,,248110,0.0102,-0.0653,461,-0.0573,0.6348,-0.1242,-0.0208
201912,77316,"montgomery, tx",,362899,0.0082,-0.0575,281,-0.0106,0.1063,73.5,-0.0455,-0.1648,80,0.4286,0.5385,8,-0.3333,1,60,-0.2857,1.1429,81,-0.1818,0.1408,132.3965103,-0.0077,0.0084,2682,4.00E-04,-0.0961,462984,-4.00E-04,0.0058,362,-0.0548,0.2883,-0.0603,0.0087
201912,2649,"mashpee, ma",*,539050,-0.0182,-0.0567,281,-0.1587,,96.5,0.2063,-0.0896,20,-0.6429,-0.375,0,,,28,-0.5625,0.1667,70,-0.0909,2.6842,287.1435718,0.0164,-0.0146,1849,-0.0112,-0.0666,824253,-0.021,-0.045,351,-0.146,0.2491,0.0186,0.184
201912,29621,"anderson, sc",*,227050,-0.0902,,281,0.0181,-0.2546,67.5,-0.0878,-0.3112,44,-0.3529,0.2222,4,,,28,-0.3636,-0.2222,127,-0.0522,-0.0863,0,,,0,,,301575,-0.0659,-0.0078,408,-0.0049,0.452,-0.0335,0.0833
201912,32127,"port orange, fl",,399900,-1.00E-04,0.0663,280,0.0294,-0.085,74.5,0.1288,-0.1813,48,-0.3333,0.0909,0,,,32,-0.5556,-0.6522,19,-0.3214,0.4615,205.4771219,-0.0013,0.0711,1883.5,0.0094,-0.0251,547586,0.0458,0.0396,299,-0.0033,0.0679,-0.0351,0.0254
201912,29588,"myrtle beach, sc",,222550,0.0114,0.0354,280,-0.0444,-0.085,73.5,0.097,-0.0577,76,0,0.1875,0,-1,-1,60,-0.375,-0.2105,216,-0.166,-0.04,0,,-1,0,,-1,247938,0.0046,0.048,496,-0.1014,0.7714,-0.1125,0.0361
201912,29909,"okatie, sc",,375050,0.0013,-0.0077,280,-0.0036,-0.0175,79.5,0.1357,-0.0536,48,-0.4286,0.5,0,-1,-1,56,-0.2632,0.75,154,-0.277,-0.1047,166.2412993,-0.0102,0.0232,2361,0,-0.0495,501697,-0.0454,0.0248,434,-0.1215,0.55,-0.208,-0.0535
201912,33410,"palm beach gardens, fl",,567045,0.0218,0.1571,280,0.0895,-0.186,73,-0.0988,-0.0641,80,0.1111,0.0526,0,,-1,60,-0.0625,-0.1667,85,-0.0659,0.0897,252.4846087,-0.009,0.0807,2267,-0.0074,0.1026,1063562,0.0306,0.2187,365,0.0489,0.3036,-0.0505,0.0768
201912,30680,"winder, ga",,234950,-4.00E-04,0.0147,280,-0.0879,-0.1139,58.5,0.1939,-0.2688,100,-0.1935,0.1364,0,-1,-1,40,-0.6875,-0.375,152,-0.1412,-0.1602,103.9165493,0.0023,0.124,1716.5,-0.0373,0.0975,271996,-0.0037,-0.0447,432,-0.1074,0.5429,-0.0337,-0.0299
